Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-05-16,Equal Weighted Portfolio,0.004033021163074091,0.03186161755433438,0.041661928397564836,False,False
2025-05-19,Equal Weighted Portfolio,0.0010086287524740055,0.03186161755433438,0.041661928397564836,False,False
2025-05-20,Equal Weighted Portfolio,-0.008965474356683802,0.03186161755433438,0.041661928397564836,False,False
2025-05-21,Equal Weighted Portfolio,-0.008053056832776174,0.03186161755433438,0.041661928397564836,False,False
2025-05-22,Equal Weighted Portfolio,0.0060795351278394305,0.03186161755433438,0.041661928397564836,False,False
2025-05-23,Equal Weighted Portfolio,-0.01528260724792072,0.03186161755433438,0.041661928397564836,False,False
2025-05-27,Equal Weighted Portfolio,0.02632458978041594,0.03186161755433438,0.041661928397564836,False,False
2025-05-28,Equal Weighted Portfolio,-0.004206047636868582,0.03186161755433438,0.041661928397564836,False,False
2025-05-29,Equal Weighted Portfolio,0.0070791668646157605,0.03186161755433438,0.041661928397564836,False,False
2025-05-30,Equal Weighted Portfolio,-0.004999064154246536,0.03186161755433438,0.041661928397564836,False,False
2025-06-02,Equal Weighted Portfolio,0.0036063740267077374,0.03186161755433438,0.041661928397564836,False,False
2025-06-03,Equal Weighted Portfolio,0.0035476464067363263,0.03186161755433438,0.041661928397564836,False,False
2025-06-04,Equal Weighted Portfolio,0.0044186872938221326,0.03186161755433438,0.041661928397564836,False,False
2025-06-05,Equal Weighted Portfolio,-0.0020845178818690753,0.03186161755433438,0.041661928397564836,False,False
2025-06-06,Equal Weighted Portfolio,0.018369025163727182,0.03186161755433438,0.041661928397564836,False,False
2025-06-09,Equal Weighted Portfolio,0.006405441436290582,0.03186161755433438,0.041661928397564836,False,False
2025-06-10,Equal Weighted Portfolio,0.005562393443732861,0.03186161755433438,0.041661928397564836,False,False
2025-06-11,Equal Weighted Portfolio,-0.01008144979197394,0.03186161755433438,0.041661928397564836,False,False
2025-06-12,Equal Weighted Portfolio,0.004107592333540345,0.03186161755433438,0.041661928397564836,False,False
2025-06-13,Equal Weighted Portfolio,-0.010874425634311246,0.03186161755433438,0.041661928397564836,False,False
2025-06-16,Equal Weighted Portfolio,0.013711840473880967,0.03186161755433438,0.041661928397564836,False,False
2025-06-17,Equal Weighted Portfolio,-0.006031843726062603,0.03186161755433438,0.041661928397564836,False,False
2025-06-18,Equal Weighted Portfolio,-0.002040199328958492,0.03186161755433438,0.041661928397564836,False,False
2025-06-20,Equal Weighted Portfolio,-0.00877468599233031,0.03186161755433438,0.041661928397564836,False,False
2025-06-23,Equal Weighted Portfolio,0.0013307245005453215,0.03186161755433438,0.041661928397564836,False,False
2025-06-24,Equal Weighted Portfolio,0.01188420666150365,0.03186161755433438,0.041661928397564836,False,False
2025-06-25,Equal Weighted Portfolio,0.014545628525765308,0.03186161755433438,0.041661928397564836,False,False
2025-06-26,Equal Weighted Portfolio,0.010737728560922612,0.03186161755433438,0.041661928397564836,False,False
2025-06-27,Equal Weighted Portfolio,0.013090256812574608,0.03186161755433438,0.041661928397564836,False,False
2025-06-30,Equal Weighted Portfolio,0.0004758400561866603,0.03186161755433438,0.041661928397564836,False,False
2025-07-01,Equal Weighted Portfolio,-0.005074758723378969,0.03186161755433438,0.041661928397564836,False,False
2025-07-02,Equal Weighted Portfolio,0.011941300257461297,0.03186161755433438,0.041661928397564836,False,False
2025-07-03,Equal Weighted Portfolio,0.010912266748871958,0.03186161755433438,0.041661928397564836,False,False
2025-07-07,Equal Weighted Portfolio,-0.008459680785541357,0.03186161755433438,0.041661928397564836,False,False
2025-07-08,Equal Weighted Portfolio,-0.004542081599226866,0.03186161755433438,0.041661928397564836,False,False
2025-07-09,Equal Weighted Portfolio,0.013204800715535559,0.03186161755433438,0.041661928397564836,False,False
2025-07-10,Equal Weighted Portfolio,0.0028138258826668093,0.03186161755433438,0.041661928397564836,False,False
2025-07-11,Equal Weighted Portfolio,0.0059609034482704945,0.03186161755433438,0.041661928397564836,False,False
2025-07-14,Equal Weighted Portfolio,-0.0013056631896298577,0.03186161755433438,0.041661928397564836,False,False
2025-07-15,Equal Weighted Portfolio,0.0105671281995253,0.03186161755433438,0.041661928397564836,False,False
2025-07-16,Equal Weighted Portfolio,-0.00035012472483064716,0.031473765818942255,0.041661928397564836,False,False
2025-07-17,Equal Weighted Portfolio,0.005804504041222569,0.031473765818942255,0.041661928397564836,False,False
2025-07-18,Equal Weighted Portfolio,0.0031304000128904884,0.031473765818942255,0.041661928397564836,False,False
2025-07-21,Equal Weighted Portfolio,0.008447917958885243,0.031473765818942255,0.041661928397564836,False,False
2025-07-22,Equal Weighted Portfolio,-0.0057391722304868335,0.031473765818942255,0.041661928397564836,False,False
2025-07-23,Equal Weighted Portfolio,0.004590835522784964,0.031473765818942255,0.041661928397564836,False,False
2025-07-24,Equal Weighted Portfolio,0.01029965411879037,0.031473765818942255,0.041661928397564836,False,False
2025-07-25,Equal Weighted Portfolio,0.0011745274067900711,0.031473765818942255,0.041661928397564836,False,False
2025-07-28,Equal Weighted Portfolio,0.003920735856480162,0.031473765818942255,0.041661928397564836,False,False
