Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES,Model
2025-02-11,Equal Weighted Portfolio,0.0013081916637957,0.0254486770913596,0.0366272379585079,False,False,GARCH-t
2025-02-12,Equal Weighted Portfolio,-0.0050569584101981,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-12,Equal Weighted Portfolio,-0.0050569584101981,0.0257741769354925,0.0350961824945176,False,False,EWMA-t
2025-02-12,Equal Weighted Portfolio,-0.0050569584101981,0.023805046953387,0.034319289226853,False,False,GARCH-t
2025-02-13,Equal Weighted Portfolio,0.0148977403231898,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-13,Equal Weighted Portfolio,0.0148977403231898,0.0250679947159415,0.034134588255688,False,False,EWMA-t
2025-02-13,Equal Weighted Portfolio,0.0148977403231898,0.0226220141007434,0.0326581009164873,False,False,GARCH-t
2025-02-14,Equal Weighted Portfolio,0.0042346421189336,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-14,Equal Weighted Portfolio,0.0042346421189336,0.0250004387241457,0.0340425986095162,False,False,EWMA-t
2025-02-14,Equal Weighted Portfolio,0.0042346421189336,0.022249019150958,0.0321343497382979,False,False,GARCH-t
2025-02-18,Equal Weighted Portfolio,-0.0016421514801399,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-18,Equal Weighted Portfolio,-0.0016421514801399,0.0242959606759014,0.0330833249067537,False,False,EWMA-t
2025-02-18,Equal Weighted Portfolio,-0.0016421514801399,0.0208885455389097,0.0302240030764571,False,False,GARCH-t
2025-02-19,Equal Weighted Portfolio,0.0040019619755109,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-19,Equal Weighted Portfolio,0.0040019619755109,0.0235646579049934,0.032087524514339,False,False,EWMA-t
2025-02-19,Equal Weighted Portfolio,0.0040019619755109,0.0197195622176383,0.0285825428042684,False,False,GARCH-t
2025-02-20,Equal Weighted Portfolio,-0.0007267224066518,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-20,Equal Weighted Portfolio,-0.0007267224066518,0.0229009220105954,0.031183728589594,False,False,EWMA-t
2025-02-20,Equal Weighted Portfolio,-0.0007267224066518,0.0185687601074302,0.0269666121826039,False,False,GARCH-t
2025-02-21,Equal Weighted Portfolio,-0.0232177203876512,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-21,Equal Weighted Portfolio,-0.0232177203876512,0.0222051067551309,0.0302362508389224,True,False,EWMA-t
2025-02-21,Equal Weighted Portfolio,-0.0232177203876512,0.0175616493723903,0.0255524497808129,True,False,GARCH-t
2025-02-24,Equal Weighted Portfolio,-0.0109776785468838,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-24,Equal Weighted Portfolio,-0.0109776785468838,0.0233847152851538,0.0318425002390638,False,False,EWMA-t
2025-02-24,Equal Weighted Portfolio,-0.0109776785468838,0.0213265338815724,0.0308390165253921,False,False,GARCH-t
2025-02-25,Equal Weighted Portfolio,-0.0128036401398896,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-25,Equal Weighted Portfolio,-0.0128036401398896,0.0230796475580728,0.0314270956017162,False,False,EWMA-t
2025-02-25,Equal Weighted Portfolio,-0.0128036401398896,0.0212002667907208,0.0306617150964099,False,False,GARCH-t
2025-02-26,Equal Weighted Portfolio,0.0013021451284174,0.0234892679363461,0.0333336198103102,False,False,Historical VaR
2025-02-26,Equal Weighted Portfolio,0.0013021451284174,0.0229360200395084,0.0312315208752996,False,False,EWMA-t
2025-02-26,Equal Weighted Portfolio,0.0013021451284174,0.0214316040763444,0.0309865537463011,False,False,GARCH-t
